"prior_knowledge","Dest_2_mean","Charging_2_mean","Time_2_mean","Accident_2_mean","Price_2_mean","Support_2_mean"
"Ich könnte ihre Funktionsweise im Detail erklären.",1.78571428571429,2.28571428571429,2.5,1.57142857142857,2.21428571428571,2.71428571428571
"Ich habe eine relativ klare Vorstellung, wie E-Autos funktionieren.",2.02222222222222,2.93333333333333,3.08888888888889,2.24444444444444,3.06666666666667,3.24444444444444
"Ich habe eine ungefähre Vorstellung über die Funktionsweise von E-Autos.",2.98039215686275,3.3921568627451,3.56862745098039,2.54,3.43137254901961,3.43137254901961
"Ich habe schon einmal von E-Autos gehört, kann aber nichts darüber sagen.",3.2,3.65,3.85,2.75,3.7,3.65
"Ich habe keine Kenntnisse über Elektrofahrzeuge.",2.6,3.4,2.2,2,3,3.2
NA,NA,NA,NA,NA,NA,NA
