"prior_knowledge","Dest_mean","Charging_mean","Time_mean","Accident_mean","Price_mean","Support_mean"
"Ich könnte ihre Funktionsweise im Detail erklären.",1.60869565217391,2.69565217391304,2.91304347826087,1.65217391304348,2.95652173913043,3.08695652173913
"Ich habe eine relativ klare Vorstellung, wie E-Autos funktionieren.",2.15492957746479,3.08450704225352,3.15492957746479,2.07042253521127,3.32394366197183,3.23943661971831
"Ich habe eine ungefähre Vorstellung über die Funktionsweise von E-Autos.",2.56338028169014,3.56338028169014,3.47887323943662,2.56338028169014,3.54929577464789,3.69014084507042
"Ich habe schon einmal von E-Autos gehört, kann aber nichts darüber sagen.",3.07407407407407,4,4.03703703703704,2.7037037037037,3.66666666666667,3.44444444444444
"Ich habe keine Kenntnisse über Elektrofahrzeuge.",2.85714285714286,3,3.14285714285714,1.85714285714286,3.57142857142857,3.42857142857143
NA,3.5,4,3.5,3.5,1,1
